Maquina,Volumen,Velocidad
SBO10,0.355,0
SBO10,0.4,0
SBO10,0.5,22000
SBO10,0.6,0
SBO10,0.75,22000
SBO10,1,20000
SBO10,1.5,0
SBO10,2,0
SBO10,2.5,0
SBO10,3,0
SBO10,3.3,0
