Maquina ,Volumen ,Velocidad 
SBO 16,0.355,24400
SBO 16,0.400,24400
SBO 16,0.500,24400
SBO 16,0.600,24400
SBO 16,0.750,24400
SBO 16,1.000,18000
SBO 16,1.500,18000
SBO 16,2.000,15000
SBO 16,2.500,15000
SBO 16,3.000,N/A
SBO 16,3.300,N/A
