Maquina,Volumen,Velocidad
SBO20,0.355,36000
SBO20,0.4,36000
SBO20,0.5,36000
SBO20,0.6,36000
SBO20,0.75,36000
SBO20,1,0
SBO20,1.5,0
SBO20,2,0
SBO20,2.5,0
SBO20,3,0
SBO20,3.3,0
